Date,Close/Last,Volume,Open,High,Low
02/08/2022,450.94,81012040,446.73,451.92,445.22
02/07/2022,447.26,84472860,449.51,450.99,445.85
02/04/2022,448.7,118454400,446.35,452.78,443.83
02/03/2022,446.6,118024400,450.95,452.97,445.71
02/02/2022,457.35,117361000,455.5,458.12,453.05
02/01/2022,452.95,123155400,450.68,453.63,446.9384
01/31/2022,449.91,152251400,441.24,450.28,439.81

